,country,city,yelp,four_square,google
"29.76249, 42.79654",Saudi Arabia,Maḩīr al Khadd,0.0,0.0,0.0
"29.040834, 24.83613",Libya,Libyan Sand Sea,0.0,0.0,0.0
"62.47729, 157.83337",Russia,Kraskomna,0.0,0.0,0.0
"55.7711, 106.1806",Russia,Mitin,0.0,0.0,0.0
"-83.25, -60",,Foundation Ice Stream,0.0,0.0,0.0
"17.05, -25.36667",Cape Verde,Botija,0.0,3.0,0.0
"17.05336, 75.82121",India,Agasnal,0.0,2.0,0.0
"54.532222, 168.0175",Russia,Glinka,0.0,0.0,0.0
"70.81667, 143.2",Russia,Dadakh,0.0,0.0,0.0
"30.916667, -108.133333",Mexico,Janos,0.0,11.0,0.0
"-85.58333, -177.23333",,Grass Bluff,0.0,0.0,0.0
"77.1, -71.183333",Greenland,Iniartorfik,0.0,0.0,0.0
"7.133333, -69.083333",Venezuela,Las Queseritas,0.0,0.0,0.0
"-0.98333, 21.06667",Democratic Republic of the Congo,Ilaka I,0.0,0.0,0.0
"16.68361, -13.80853",Mauritania,Krâ’ Boû Mbâré,0.0,0.0,0.0
"0.13351, 28.16451",Democratic Republic of the Congo,Munamansi,0.0,0.0,0.0
"-11.43333, 30.61667",Zambia,Kabinga,0.0,0.0,0.0
"-34.166667, 128.683333",,Eucla Canyon,0.0,0.0,0.0
"-67.33333, 83",,"Tajmyrskij, ledolom",0.0,0.0,0.0
"52.66667, 176.0875",,Buldir Basin,0.0,0.0,0.0
"11.933333, 116.883333",,Đá Đồng Thạnh,0.0,0.0,0.0
"-31.70287, -62.48202",Argentina,Saturnino M. Laspiur,0.0,2.0,0.0
"63.5, 160",Russia,Severo-Evenskiy Rayon,0.0,0.0,0.0
"58.107354, 29.05195",Russia,Katezhno,0.0,30.0,0.0
"66.6509, -87.0326",Canada,Kuunguq Inlet,0.0,0.0,0.0
"35.959504, 84.791145",China,Hongsha Hu,0.0,0.0,0.0
"-6.016667, -69.5",Brazil,Rio Juruàzinho,0.0,0.0,0.0
"31.32647, -4.32158",Morocco,Zawia Sidi 'Abdellah Boubker,0.0,22.0,0.0
"49.51667, 46.53333",Russia,Niva,0.0,0.0,0.0
"52.63041, 32.99403",Russia,Zabolot'ye,0.0,9.0,0.0
"60.416667, 138.2",Russia,Yagodnyy,0.0,0.0,0.0
"-11.31685, 154.2363",Papua New Guinea,Jinjo,0.0,0.0,0.0
"-26.21936, 152.61591",Australia,Gympie,0.0,30.0,0.0
"45.20193, -87.0915",United States,Sister Bay,29.0,30.0,0.0
"21.66004, -160.53999",United States,Kahālauola,0.0,0.0,0.0
"40.34786, 74.90974",China,Suyuekecun,0.0,0.0,0.0
"63.583333, -84.083333",Canada,Bear Cove Point,0.0,0.0,0.0
"56.71667, -2.96667",United Kingdom,Kirriemuir,1.0,30.0,0.0
"20.011695, -88.157655",Mexico,Canzepchén,0.0,0.0,0.0
