,country,city,yelp,four_square,google
"-52.95, -73.5",Chile,Roca Coombes,0.0,0.0,0.0
"-10.5, 126",,Timor Sea,0.0,0.0,0.0
"64.15009, -126.75366",Canada,Toochingkla River,0.0,0.0,0.0
"65.75, 139.916667",Russia,Tsep’ Nekh-Tas,0.0,0.0,0.0
"56.28333, 114.16667",Russia,Amnunda,0.0,0.0,0.0
"44.7582, 27.20338",Romania,Miloşeşti,0.0,30.0,0.0
"56.02477, 89.86186",Russia,Zakharinka,0.0,0.0,0.0
"-39.98825, 175.47021",New Zealand,Rata,0.0,28.0,0.0
"-74.36667, -117.96667",,Scott Peninsula,0.0,0.0,0.0
"-1.4, 110.08333",Indonesia,Siduk,0.0,15.0,0.0
"-15.06667, 167.05",Vanuatu,Port-Olry,0.0,4.0,0.0
"57.51639, -127.63675",Canada,Chili Creek,0.0,0.0,0.0
